GaiaDR3_ID,cluster,subgroup,fiducial_age_Myr,Prot,BPRP_0,G_0,e_BPRP_0,dr3_parallax_zpt_corrected,dr3_ruwe,mem_prob_hdbscan,cmd_exclude,dered_exclude,phot_exclude,phot_bp_rp_excess_factor,astrometric_excess_noise_sig,phot_bp_rp_excess_factor_t,astrometric_excess_noise_sig_t,noise_sig_detected,spec_coverage,e_Prot_true,e_Prot_imputed,mem_prob_source
5290646440127895936,NGC2516,NGC2516,263.0,1.897,2.6068166787352003,18.559825013128503,0.0840708869740178,2.4871228523293247,1.0706174,0.815,0,0,0,1.4916323,1.6460869,0.3998710520712065,0.9730819463729858,1,gsp_only,,0.0178001262847607,0.815
5290651323511794816,NGC2516,NGC2516,263.0,6.312,1.0427983860929382,13.874331188201763,0.0157076518410071,2.471274462221729,0.995645,0.985,0,0,0,1.2295822,0.0,0.2066744291698951,0.0,0,both,0.0874471368661492,0.1359885826148109,0.985
5290652663541576832,NGC2516,NGC2516,263.0,3.979,1.213373969948525,14.529638681088104,0.0158308779273888,2.389930606716362,1.0584376,0.714,0,0,0,1.2485797,0.5720629,0.2220066977604575,0.4523887038230896,1,both,0.4672620943541289,0.0623099841342712,0.714
5290653350736340736,NGC2516,NGC2516,263.0,8.524,1.1687538818600398,13.608169650333105,0.0154135983726015,2.4606647515885864,0.95249,1.0,0,0,0,1.2438763,0.0,0.2182325826274701,0.0,0,both,0.1847035504721788,0.2260426115326042,1.0
5290654205428930688,NGC2516,NGC2516,263.0,0.866,2.937004669472992,18.05676595427165,0.0581934042282031,2.253174644398672,1.0527431,0.399,0,0,0,1.5369502,3.4322543,0.4298000831593501,1.488908290863037,1,gsp_only,,0.0047251735315097,0.399
5290654858263942656,NGC2516,NGC2516,263.0,0.762,2.5293262858841303,18.01512852170116,0.0403908704688554,2.6705374364122947,1.0682627,0.393,0,0,0,1.445934,2.8352757,0.3687555191252723,1.3442412614822388,1,gsp_only,,0.0038057358255312,0.393
145203704587705088,Taurus,Taurus_C5,2.01,3.73,3.4497509261602923,18.038413034964822,0.6248318442984754,6.163721480605845,1.2948834,,0,0,0,1.871292,9.102643,0.6266290987435773,2.3127970695495605,1,none,,0.0558583776778314,0.9
145217379763796992,Taurus,Taurus_C5,2.01,0.966,4.153749013333825,17.2053198373375,0.2420990596182407,5.58431202420541,1.0010191,,0,0,0,1.849281,4.0540295,0.6147968897030825,1.6201858520507812,1,none,,0.0056844743559953,0.9
146675954953119104,Taurus,Taurus_C6,1.57,6.398,1.9969305660403385,12.939699021805875,0.0149855376280545,7.951612129634357,0.95019937,,0,0,0,1.3426334,4.2226872,0.2946328844293873,1.6530120372772217,1,both,0.2257493386368243,0.139137187500953,0.9
148599305732728320,Taurus,Taurus_D4,2.49,0.982,0.855383431940802,9.537888096250104,0.0151255171817391,9.130876187748866,0.9684662,,0,0,0,1.2060101,8.534598,0.1873174757373225,2.254927158355713,1,both,0.0071295724449956,0.0058446346767118,0.9
